"RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg"
",Larry Nance Jr.,Cle,*,F-C,32.9,16,15,12.9,12.1,3,0.333,32,0.406,33,0.303,0.431,0.43,3.6,2.8,1.3,0.6,0.3,0.6,6.4,4.8,7.6,6.3,99.6,101.6"
",Tyrese Proctor,Cle,*,G,21.7,18,12.4,20.1,7,21,0.857,32,0.406,61,0.311,0.446,0.494,5.6,1.3,1.4,0.3,0,0.4,6.9,7,8.3,7,109.6,109.2"
",O.G. Anunoby,Nyk,*,F-G,28.4,15,30.6,20.2,13,33,0.788,86,0.57,94,0.394,0.581,0.604,15.7,5.3,1.9,1.9,0.7,1.8,21,17.5,22.9,7.1,117.1,107.3"
",Karl-Anthony Towns,Nyk,*,C-F,30.1,23,33,26.6,13.9,151,0.881,237,0.519,121,0.355,0.524,0.598,22.1,12,3.3,0.8,0.8,2.5,34.1,25.3,37.4,11.6,123.9,102.6"
",Ariel Hukporti,Nyk,*,C,23.7,16,7.9,8.5,40.4,8,0.625,13,0.538,0,0,0.538,0.575,1.2,2.4,0.5,0.1,0.5,0.6,3.6,1.7,4.1,5.7,111.9,98.1"
",Mikal Bridges,Nyk,*,G-F,29.3,24,34.4,16.9,7.2,36,0.806,161,0.621,134,0.41,0.619,0.634,16.4,4.6,4.3,2,1.1,1,21,20.7,25.3,8,136,109.6"
",Jalen Brunson,Nyk,*,G,29.3,22,34.9,31.2,10.1,145,0.848,291,0.54,165,0.376,0.548,0.599,28.3,3.1,6.3,0.7,0.1,2.3,31.4,34.6,37.7,9.4,125.4,113"
",Guerschon Yabusele,Nyk,*,F,30,23,10,13.9,9.7,10,0.6,21,0.619,44,0.295,0.5,0.512,3.1,2.2,0.4,0.1,0.2,0.3,5.3,3.5,5.7,5.6,113.3,105.7"
",Miles McBride,Nyk,*,G,25.3,20,27,16.1,7.6,24,0.792,57,0.421,124,0.444,0.588,0.606,11.6,2.5,2.5,0.7,0.3,0.8,14.1,14.1,16.6,6.2,128.4,113"
",Trey Jemison,Nyk,*,C,26,3,3.5,4,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3,1,0,1,0,0,0"
",Landry Shamet,Nyk,*,G,28.8,15,20.9,15.4,7,34,0.794,27,0.519,66,0.424,0.602,0.644,9.3,2,1.2,0.4,0.2,0.5,11.3,10.5,12.5,5.4,134.6,113.7"
",Jordan Clarkson,Nyk,*,G,33.5,24,20.1,22,11.9,40,0.8,110,0.555,97,0.289,0.498,0.53,9.9,2,1.7,0.4,0.2,1.2,12,11.6,13.6,6.4,110.1,109.4"
",Tyler Kolek,Nyk,*,G,24.7,20,9.9,16.8,15.7,8,0.625,34,0.588,30,0.3,0.523,0.533,3.6,0.9,1.9,0.5,0.1,0.6,4.5,5.5,6.4,7.4,115.6,108.2"
",Terance Mann,Bro,*,G-F,29.2,22,26.4,14.3,13,36,0.833,91,0.516,63,0.349,0.519,0.559,8.6,3.5,3.7,0.7,0.1,1,12.1,12.3,15.8,7.3,123.5,114.4"
",Michael Porter Jr.,Bro,*,F,27.5,20,32.9,30.1,10.7,94,0.819,194,0.593,181,0.403,0.599,0.632,26.3,7.4,3.2,0.9,0.3,2.3,33.7,29.5,36.9,10.4,120,114.5"
",Nic Claxton,Bro,*,C,26.7,24,30.4,18.1,13.5,112,0.705,213,0.573,11,0.091,0.551,0.596,13.6,7.8,4.5,0.7,1.4,1.5,21.4,18,25.8,10.3,129.6,114.7"
",Cam Thomas,Bro,*,G,24.2,8,28.3,32.6,10.8,55,0.873,87,0.425,45,0.356,0.462,0.544,21.3,1.4,2.6,0.5,0.1,2,22.6,23.9,25.3,6,108.5,119.9"
",Ben Saraf,Bro,*,G,19.7,12,16.9,19.4,26.9,15,0.8,29,0.448,33,0.273,0.427,0.474,5.4,1.6,2.8,0.7,0.3,1.9,7,8.3,9.8,6.8,91.4,116.8"
",Ziaire Williams,Bro,*,F,24.3,21,23,17.8,12,41,0.829,44,0.636,117,0.299,0.5,0.545,9.3,2.7,0.7,0.8,0.4,1,12,10,12.7,4.5,105.4,114.3"
",Egor Demin,Bro,*,G,19.8,22,22.7,18.4,18.2,14,0.857,55,0.418,115,0.348,0.488,0.505,8.1,3.2,3.5,0.9,0.3,1.7,11.3,11.6,14.8,7.9,101.7,114.1"
",Day'Ron Sharpe,Bro,*,C,24.1,23,16.1,19.4,29.4,63,0.619,80,0.663,18,0.278,0.617,0.636,7,5.4,1.8,0.8,0.6,1.8,12.3,8.8,14.2,10.1,115.1,105.4"
",Noah Clowney,Bro,*,F-C,21.4,24,28.3,19.8,15.7,88,0.818,78,0.538,153,0.353,0.532,0.59,13.3,3.8,1.8,0.7,0.8,1.8,17,15.1,18.9,6.4,111,114.1"
