"NAME,TEAM,POS,SALARY,2P%,2PA,3P%,3PA,AGE,ApG,BpG,DRtg,FT%,FTA,GP,MpG,ORtg,P+A,P+R,P+R+A,PpG,RpG,SpG,TO%,TOpG,TS%,USG%,VI,eFG%,PERFORMANCE,EFFICIENCY,PERF_Z,LOG_SALARY,EXPECTED_SALARY,VALUE"
"Derrick White,BOS,G,28100000,0.47,149.0,0.333,219.0,31.4,5.2,1.3,115.5,0.844,64.0,24.0,33.0,114.6,22.4,21.2,26.4,17.2,4.0,1.4,10.7,1.8,0.521,23.9,8.6,0.488,29.497,1.05,1.671,17.151280134303974,20363017.841,7736982.159"
"RJ Barrett,TOR,F-G,27705357,0.593,150.0,0.356,87.0,25.5,3.8,0.2,109.8,0.725,80.0,17.0,30.9,119.7,23.1,24.2,27.9,19.4,4.8,0.8,9.9,1.5,0.604,24.0,9.2,0.572,19.79,0.714,0.767,17.13713634596126,11347469.789,16357887.211"
"Anfernee Simons,BOS,G,27678571,0.487,115.0,0.392,153.0,26.5,2.5,0.2,114.8,0.878,41.0,25.0,23.7,119.7,15.6,15.3,17.8,13.1,2.2,0.5,8.8,1.0,0.573,22.7,7.0,0.545,16.437,0.594,0.454,17.136169061658546,9272344.792,18406226.208"
"Devin Vassell,SAS,G-F,27000000,0.471,140.0,0.394,165.0,25.3,2.5,0.5,111.5,0.878,49.0,24.0,32.4,116.6,17.9,19.1,21.6,15.4,3.7,1.0,7.6,1.0,0.567,19.1,6.4,0.536,25.245,0.935,1.275,17.111347423968603,15761253.22,11238746.78"
"Terry Rozier,MIA,INACTIVE,26643031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,17.09803817344071,3444933.285,23198097.715"
"Tobias Harris,DET,F,26634146,0.5,102.0,0.382,68.0,33.4,2.3,0.3,108.7,0.833,42.0,15.0,29.1,119.4,16.7,19.3,21.6,14.3,4.9,0.6,9.1,1.1,0.57,19.2,7.5,0.529,13.711,0.515,0.2,17.097704634744304,7868030.145,18766115.855"
"John Collins,LAC,F-C,26580000,0.586,162.0,0.297,74.0,28.2,0.7,0.6,114.2,0.807,57.0,25.0,26.9,109.1,12.8,16.7,17.4,12.1,4.6,0.8,13.5,1.5,0.578,19.4,5.0,0.542,17.129,0.644,0.519,17.095669611249374,9666702.769,16913297.231"
"Draymond Green,GSW,F,25892857,0.458,59.0,0.333,93.0,35.8,5.5,0.9,101.6,0.619,21.0,20.0,28.1,96.4,13.5,14.2,19.6,8.0,6.2,0.8,28.3,3.0,0.496,16.6,9.2,0.484,13.91,0.537,0.219,17.069477697126505,7962764.573,17930092.427"
"Nic Claxton,BRK,C,25352272,0.573,213.0,0.091,11.0,26.7,4.5,1.4,114.7,0.705,112.0,24.0,30.4,129.6,18.0,21.4,25.8,13.6,7.8,0.7,13.5,1.5,0.596,18.1,10.3,0.551,27.846,1.098,1.518,17.04837890923191,18435374.742,6916897.258"
"Myles Turner,MIL,C-F,25318251,0.511,94.0,0.382,152.0,29.7,1.7,1.7,111.0,0.714,70.0,26.0,28.7,114.3,14.0,17.9,19.5,12.3,5.6,0.9,10.2,1.1,0.578,18.0,6.8,0.549,23.702,0.936,1.131,17.04703607702502,14362303.092,10955947.908"
"Trey Murphy III,NOP,F,25000000,0.608,186.0,0.361,180.0,25.5,3.6,0.2,118.4,0.906,96.0,24.0,35.5,122.4,24.8,27.5,31.1,21.2,6.4,1.8,12.0,2.1,0.622,22.5,8.9,0.575,34.798,1.392,2.165,17.034386382832476,28022396.895,-3022396.895"
"Josh Giddey,CHI,G,25000000,0.515,227.0,0.4,100.0,23.2,9.0,0.5,114.1,0.748,131.0,22.0,34.2,116.4,29.5,30.0,38.9,20.5,9.4,1.0,19.8,3.7,0.588,25.8,14.1,0.541,33.054,1.322,2.003,17.034386382832476,25227725.137,-227725.137"
"Miles Bridges,CHO,F,25000000,0.532,237.0,0.318,192.0,27.7,3.7,0.5,116.2,0.847,118.0,25.0,34.7,117.6,25.1,27.6,31.3,21.4,6.2,0.6,8.1,1.5,0.556,25.2,9.1,0.507,34.141,1.366,2.104,17.034386382832476,26936029.341,-1936029.341"
"Fred VanVleet,HOU,INACTIVE,25000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,17.034386382832476,3444933.285,21555066.715"
"Mikal Bridges,NYK,G-F,24900000,0.621,161.0,0.41,134.0,29.3,4.3,1.1,109.6,0.806,36.0,24.0,34.4,136.0,20.7,21.0,25.3,16.4,4.6,2.0,7.2,1.0,0.634,16.9,8.0,0.619,35.435,1.423,2.225,17.030378361434938,29119548.114,-4219548.114"
"DeMar DeRozan,SAC,G-F,24570000,0.522,272.0,0.38,50.0,36.4,3.4,0.2,119.3,0.894,113.0,25.0,32.6,122.0,21.1,20.8,24.2,17.7,3.2,1.3,7.5,1.0,0.595,20.7,7.1,0.53,28.915,1.177,1.617,17.01703674449736,19660750.387,4909249.613"
"Jaden McDaniels,MIN,F,24393104,0.562,194.0,0.44,84.0,25.2,2.6,1.0,107.5,0.833,54.0,24.0,32.6,118.6,18.2,20.3,23.0,15.6,4.8,1.2,13.9,1.9,0.62,18.8,7.1,0.592,26.901,1.103,1.429,17.009811027367217,17414472.067,6978631.933"
"De'Andre Hunter,CLE,F-G,23303571,0.573,131.0,0.31,142.0,28.0,2.4,0.2,109.3,0.84,81.0,22.0,28.7,112.9,18.3,20.2,22.6,15.9,4.3,0.7,11.4,1.6,0.567,22.4,7.6,0.516,19.308,0.829,0.722,16.964117168595113,11022910.747,12280660.253"
"Aaron Gordon,DEN,F,22841455,0.593,91.0,0.444,63.0,30.2,1.3,0.2,112.5,0.867,60.0,13.0,28.3,131.3,20.1,24.7,26.0,18.8,5.9,0.8,10.4,1.4,0.676,23.0,7.4,0.623,13.688,0.599,0.198,16.94408764475109,7857094.804,14984360.196"
"Jonathan Kuminga,GSW,F,22500000,0.484,126.0,0.32,50.0,23.2,2.6,0.4,109.1,0.741,54.0,17.0,25.7,100.5,15.0,18.6,21.3,12.4,6.3,0.3,19.6,2.5,0.526,23.5,9.1,0.483,10.818,0.481,-0.069,16.929025867174648,6609756.721,15890243.279"
"Kyle Kuzma,MIL,F,22410605,0.579,183.0,0.338,68.0,30.4,2.1,0.5,111.7,0.737,76.0,25.0,26.1,112.4,15.6,18.0,20.1,13.5,4.5,0.8,13.4,1.6,0.592,21.8,7.7,0.56,18.813,0.839,0.676,16.925044842289093,10698628.082,11711976.918"
"Kentavious Caldwell-Pope,MEM,G,21621500,0.42,81.0,0.337,86.0,32.8,3.2,0.2,114.0,0.921,38.0,25.0,21.9,106.4,10.8,9.9,13.1,7.6,2.3,0.8,16.0,1.3,0.517,16.3,7.0,0.464,11.442,0.529,-0.011,16.889198747972156,6863073.241,14758426.759"
"Marcus Smart,WAS,G,26720855,0.643,42.0,0.312,77.0,31.8,2.8,0.3,109.2,0.938,32.0,15.0,26.9,110.9,13.2,12.7,15.5,10.4,2.3,1.6,19.0,1.9,0.586,17.3,6.0,0.529,10.253,0.384,-0.122,17.100954904623773,6388641.008,20332213.992"
